-1.04422	-0.02049	-0.00135	-0.01890	-0.70116	0.00000	-0.00408	-0.02411	0.00000	0.00000
-0.00269	-0.14303	0.05861	0.25601	-0.18306	0.00000	-0.00107	0.06499	0.00000	0.00000
-0.00394	-0.03638	-0.06751	-0.02024	-0.26844	0.18406	-0.00156	-0.01278	0.16786	0.00000
-0.00770	-0.04432	-0.00400	-0.69245	-0.52382	0.00000	-0.00305	-0.02162	0.00000	0.00000
0.03038	0.06041	0.00399	0.05573	-0.12887	0.00000	-0.05275	0.07109	0.00000	0.00000
0.00000	0.00000	-0.14297	0.00000	0.00000	-0.12768	0.00000	0.00000	-0.10198	-0.31140
-0.00108	-0.00215	-0.00014	-0.00199	0.03750	0.00000	-0.03526	-0.00253	0.00000	0.00000
-0.00547	-0.17424	-0.01753	-0.08445	-0.37256	0.00000	-0.00217	-0.74691	0.00000	0.00000
0.00000	0.00000	-0.50406	0.00000	0.00000	0.01774	0.00000	0.00000	-1.04220	-0.10305
0.00000	0.00000	0.00000	0.00000	0.00000	0.13848	0.00000	0.00000	0.35234	-0.21579
