-0.13546	0.00000	-0.10898	0.00000	0.00000	-0.40526	0.00000	0.00000	0.00000	0.00000
0.00000	-0.10030	0.00000	0.02254	0.01661	0.01388	0.02121	0.00511	0.01659	0.00370
0.38982	0.00000	0.04309	-0.08603	0.00000	-0.16604	0.00000	0.00000	0.00000	0.00000
0.00000	-0.04017	0.35442	-0.05922	-0.06927	0.00294	-0.00431	-0.03496	0.00850	0.00078
0.00000	-0.04644	0.00000	0.03814	0.05039	0.00340	0.00519	-0.04903	0.14766	0.00090
0.20297	-0.16502	0.08474	0.01960	0.01444	-0.03067	0.01845	0.00445	0.01443	0.00321
0.00000	-0.04118	0.00000	0.09074	0.00360	0.00301	-0.02943	0.00111	0.00360	0.00080
0.00000	-0.07865	0.00000	0.06892	0.05976	0.00575	0.00879	-0.08186	0.07312	0.00153
0.00000	-0.18786	0.00000	0.01414	-0.01058	0.01374	0.02100	-0.36187	-0.76562	0.00366
0.00000	-0.43642	0.00000	0.05184	0.03820	0.03193	0.04878	0.01176	0.03816	-0.89205
